service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
1055V,0,0,0,0,1,0,0,20251121,20251121                                                                                                                 
1056S,0,0,0,0,0,1,0,20251122,20251122                                                                                                                 
1057D,0,0,0,0,0,0,1,20251123,20251123                                                                                                                 
1058L,1,0,0,0,0,0,0,20251124,20251124                                                                                                                 
1059M,0,1,0,0,0,0,0,20251125,20251125                                                                                                                 
1060X,0,0,1,0,0,0,0,20251126,20251126                                                                                                                 
1061J,0,0,0,1,0,0,0,20251127,20251127                                                                                                                 
1062V,0,0,0,0,1,0,0,20251128,20251128                                                                                                                 
1063S,0,0,0,0,0,1,0,20251129,20251129                                                                                                                 
1064D,0,0,0,0,0,0,1,20251130,20251130                                                                                                                 
1065L,1,0,0,0,0,0,0,20251201,20251201                                                                                                                 
1066M,0,1,0,0,0,0,0,20251202,20251202                                                                                                                 
1067X,0,0,1,0,0,0,0,20251203,20251203                                                                                                                 
1068J,0,0,0,1,0,0,0,20251204,20251204                                                                                                                 
1069V,0,0,0,0,1,0,0,20251205,20251205                                                                                                                 
1070S,0,0,0,0,0,1,0,20251206,20251206                                                                                                                 
1071D,0,0,0,0,0,0,1,20251207,20251207                                                                                                                 
1072L,1,0,0,0,0,0,0,20251208,20251208                                                                                                                 
1073M,0,1,0,0,0,0,0,20251209,20251209                                                                                                                 
1074X,0,0,1,0,0,0,0,20251210,20251210                                                                                                                 
1075J,0,0,0,1,0,0,0,20251211,20251211                                                                                                                 
1076V,0,0,0,0,1,0,0,20251212,20251212                                                                                                                 
1077S,0,0,0,0,0,1,0,20251213,20251213                                                                                                                 
1078D,0,0,0,0,0,0,1,20251214,20251214                                                                                                                 
1079L,1,0,0,0,0,0,0,20251215,20251215                                                                                                                 
1080M,0,1,0,0,0,0,0,20251216,20251216                                                                                                                 
1081X,0,0,1,0,0,0,0,20251217,20251217                                                                                                                 
1082J,0,0,0,1,0,0,0,20251218,20251218                                                                                                                 
1083V,0,0,0,0,1,0,0,20251219,20251219                                                                                                                 
1084S,0,0,0,0,0,1,0,20251220,20251220                                                                                                                 
2055V,0,0,0,0,1,0,0,20251121,20251121                                                                                                                 
2056S,0,0,0,0,0,1,0,20251122,20251122                                                                                                                 
2057D,0,0,0,0,0,0,1,20251123,20251123                                                                                                                 
2058L,1,0,0,0,0,0,0,20251124,20251124                                                                                                                 
2059M,0,1,0,0,0,0,0,20251125,20251125                                                                                                                 
2060X,0,0,1,0,0,0,0,20251126,20251126                                                                                                                 
2061J,0,0,0,1,0,0,0,20251127,20251127                                                                                                                 
2062V,0,0,0,0,1,0,0,20251128,20251128                                                                                                                 
2063S,0,0,0,0,0,1,0,20251129,20251129                                                                                                                 
2064D,0,0,0,0,0,0,1,20251130,20251130                                                                                                                 
2065L,1,0,0,0,0,0,0,20251201,20251201                                                                                                                 
2066M,0,1,0,0,0,0,0,20251202,20251202                                                                                                                 
2067X,0,0,1,0,0,0,0,20251203,20251203                                                                                                                 
2068J,0,0,0,1,0,0,0,20251204,20251204                                                                                                                 
2069V,0,0,0,0,1,0,0,20251205,20251205                                                                                                                 
2070S,0,0,0,0,0,1,0,20251206,20251206                                                                                                                 
2071D,0,0,0,0,0,0,1,20251207,20251207                                                                                                                 
2072L,1,0,0,0,0,0,0,20251208,20251208                                                                                                                 
2073M,0,1,0,0,0,0,0,20251209,20251209                                                                                                                 
2074X,0,0,1,0,0,0,0,20251210,20251210                                                                                                                 
2075J,0,0,0,1,0,0,0,20251211,20251211                                                                                                                 
2076V,0,0,0,0,1,0,0,20251212,20251212                                                                                                                 
2077S,0,0,0,0,0,1,0,20251213,20251213                                                                                                                 
2078D,0,0,0,0,0,0,1,20251214,20251214                                                                                                                 
2079L,1,0,0,0,0,0,0,20251215,20251215                                                                                                                 
2080M,0,1,0,0,0,0,0,20251216,20251216                                                                                                                 
2081X,0,0,1,0,0,0,0,20251217,20251217                                                                                                                 
2082J,0,0,0,1,0,0,0,20251218,20251218                                                                                                                 
2083V,0,0,0,0,1,0,0,20251219,20251219                                                                                                                 
2084S,0,0,0,0,0,1,0,20251220,20251220                                                                                                                 
3055V,0,0,0,0,1,0,0,20251121,20251121                                                                                                                 
3056S,0,0,0,0,0,1,0,20251122,20251122                                                                                                                 
3057D,0,0,0,0,0,0,1,20251123,20251123                                                                                                                 
3058L,1,0,0,0,0,0,0,20251124,20251124                                                                                                                 
3059M,0,1,0,0,0,0,0,20251125,20251125                                                                                                                 
3060X,0,0,1,0,0,0,0,20251126,20251126                                                                                                                 
3061J,0,0,0,1,0,0,0,20251127,20251127                                                                                                                 
3062V,0,0,0,0,1,0,0,20251128,20251128                                                                                                                 
3063S,0,0,0,0,0,1,0,20251129,20251129                                                                                                                 
3064D,0,0,0,0,0,0,1,20251130,20251130                                                                                                                 
3065L,1,0,0,0,0,0,0,20251201,20251201                                                                                                                 
3066M,0,1,0,0,0,0,0,20251202,20251202                                                                                                                 
3067X,0,0,1,0,0,0,0,20251203,20251203                                                                                                                 
3068J,0,0,0,1,0,0,0,20251204,20251204                                                                                                                 
3069V,0,0,0,0,1,0,0,20251205,20251205                                                                                                                 
3070S,0,0,0,0,0,1,0,20251206,20251206                                                                                                                 
3071D,0,0,0,0,0,0,1,20251207,20251207                                                                                                                 
3072L,1,0,0,0,0,0,0,20251208,20251208                                                                                                                 
3073M,0,1,0,0,0,0,0,20251209,20251209                                                                                                                 
3074X,0,0,1,0,0,0,0,20251210,20251210                                                                                                                 
3075J,0,0,0,1,0,0,0,20251211,20251211                                                                                                                 
3076V,0,0,0,0,1,0,0,20251212,20251212                                                                                                                 
3077S,0,0,0,0,0,1,0,20251213,20251213                                                                                                                 
3078D,0,0,0,0,0,0,1,20251214,20251214                                                                                                                 
3079L,1,0,0,0,0,0,0,20251215,20251215                                                                                                                 
3080M,0,1,0,0,0,0,0,20251216,20251216                                                                                                                 
3081X,0,0,1,0,0,0,0,20251217,20251217                                                                                                                 
3082J,0,0,0,1,0,0,0,20251218,20251218                                                                                                                 
3083V,0,0,0,0,1,0,0,20251219,20251219                                                                                                                 
3084S,0,0,0,0,0,1,0,20251220,20251220                                                                                                                 
3155V,0,0,0,0,1,0,0,20251121,20251121                                                                                                                 
3156S,0,0,0,0,0,1,0,20251122,20251122                                                                                                                 
3157D,0,0,0,0,0,0,1,20251123,20251123                                                                                                                 
3158L,1,0,0,0,0,0,0,20251124,20251124                                                                                                                 
3159M,0,1,0,0,0,0,0,20251125,20251125                                                                                                                 
3160X,0,0,1,0,0,0,0,20251126,20251126                                                                                                                 
3161J,0,0,0,1,0,0,0,20251127,20251127                                                                                                                 
3162V,0,0,0,0,1,0,0,20251128,20251128                                                                                                                 
3163S,0,0,0,0,0,1,0,20251129,20251129                                                                                                                 
3164D,0,0,0,0,0,0,1,20251130,20251130                                                                                                                 
3165L,1,0,0,0,0,0,0,20251201,20251201                                                                                                                 
3166M,0,1,0,0,0,0,0,20251202,20251202                                                                                                                 
3167X,0,0,1,0,0,0,0,20251203,20251203                                                                                                                 
3168J,0,0,0,1,0,0,0,20251204,20251204                                                                                                                 
3169V,0,0,0,0,1,0,0,20251205,20251205                                                                                                                 
3170S,0,0,0,0,0,1,0,20251206,20251206                                                                                                                 
3171D,0,0,0,0,0,0,1,20251207,20251207                                                                                                                 
3172L,1,0,0,0,0,0,0,20251208,20251208                                                                                                                 
3173M,0,1,0,0,0,0,0,20251209,20251209                                                                                                                 
3174X,0,0,1,0,0,0,0,20251210,20251210                                                                                                                 
3175J,0,0,0,1,0,0,0,20251211,20251211                                                                                                                 
3176V,0,0,0,0,1,0,0,20251212,20251212                                                                                                                 
3177S,0,0,0,0,0,1,0,20251213,20251213                                                                                                                 
3178D,0,0,0,0,0,0,1,20251214,20251214                                                                                                                 
3179L,1,0,0,0,0,0,0,20251215,20251215                                                                                                                 
3180M,0,1,0,0,0,0,0,20251216,20251216                                                                                                                 
